date,strategy,portfolio_value,daily_return,tqqq_position,sqqq_position,qqq_close,qqq_open,qqq_high,qqq_low,qqq_volume,ma_50,deviation_pct,cumulative_return
2025-07-03,Buy_Hold_QQQ,10725.82822322495,0.0,1.0,0.0,556.22,553.18,557.2,553.18,26440000,480.26880000000006,0.15814310652701147,0.07258282232249494
2025-07-07,Buy_Hold_QQQ,10651.008523275086,-0.006975657114091538,1.0,0.0,552.34,553.38,554.01,551.1,36153258,481.21,0.14781488331497694,0.06510085232750862
2025-07-08,Buy_Hold_QQQ,10726.406726059613,0.007078973096281218,1.0,0.0,556.25,554.48,557.63,553.1,43045534,482.7428,0.15226990438800955,0.0726406726059613
2025-07-09,Buy_Hold_QQQ,10710.97998380191,-0.0014382022471909296,1.0,0.0,555.45,556.89,557.3,552.75,34710913,484.86479999999995,0.14557707633138167,0.07109799838019099
2025-07-10,Buy_Hold_QQQ,10686.87569902425,-0.0022504275812404357,1.0,0.0,554.2,553.3,555.79,552.05,39618635,486.9072000000001,0.13820456957711846,0.06868756990242492
2025-07-11,Buy_Hold_QQQ,10686.87569902425,0.0,1.0,0.0,554.2,553.3,555.79,552.05,39620000,489.0318,0.13325963669438282,0.06868756990242492
2025-07-14,Buy_Hold_QQQ,10735.469937136015,0.004547094911584232,1.0,0.0,556.72,560.25,560.8,556.66,43277661,491.30899999999997,0.1331361729583624,0.07354699371360147
2025-07-15,Buy_Hold_QQQ,10746.461490994629,0.0010238540020116689,1.0,0.0,557.29,557.28,560.21,551.56,52314711,492.60299999999995,0.13131669924868508,0.07464614909946285
2025-07-16,Buy_Hold_QQQ,10833.429750472433,0.008092734482944232,1.0,0.0,561.8,558.02,562.31,557.21,40423778,494.3636,0.1364105286068795,0.08334297504724328
2025-07-17,Buy_Hold_QQQ,10823.016699448484,-0.0009611961552153144,1.0,0.0,561.26,563.12,564.7262,559.98,50484704,495.92379999999997,0.131746449756999,0.08230166994484843
2025-07-18,Buy_Hold_QQQ,10823.016699448484,0.0,1.0,0.0,561.26,563.12,564.73,559.98,50480000,497.50899999999996,0.12814039545013264,0.08230166994484843
2025-07-21,Buy_Hold_QQQ,10822.823865170263,-1.781705448453641e-05,1.0,0.0,561.25,564.3,564.35,558.61,43270647,498.8986,0.1249781017625626,0.08228238651702631
2025-07-22,Buy_Hold_QQQ,10872.189440394914,0.004561247216035538,1.0,0.0,563.81,562.34,563.85,559.58,40215259,500.27799999999996,0.1269933916742291,0.08721894403949136
2025-07-23,Buy_Hold_QQQ,10895.32955378147,0.002128376580763104,1.0,0.0,565.01,565.13,566.24,563.295,42275541,502.08020000000005,0.12533814318907605,0.08953295537814701
2025-07-24,Buy_Hold_QQQ,10921.555015619568,0.002407037043592173,1.0,0.0,566.37,564.93,567.695,564.27,30630813,503.7798,0.12424118632783605,0.09215550156195677
2025-07-25,Buy_Hold_QQQ,10921.555015619568,0.0,1.0,0.0,566.37,564.93,567.7,564.27,30630000,505.4776,0.12046508094522884,0.09215550156195677
2025-07-28,Buy_Hold_QQQ,10938.717266381263,0.0015714109151261301,1.0,0.0,567.26,570.76,572.11,566.53,45463317,507.39520000000005,0.11798456114681405,0.09387172663812635
2025-07-29,Buy_Hold_QQQ,10953.372671526082,0.0013397736487677449,1.0,0.0,568.02,568.18,570.62,565.05,43433777,509.0422000000001,0.11586033535137141,0.09533726715260818
2025-07-30,Buy_Hold_QQQ,10895.329553781472,-0.005299109186296241,1.0,0.0,565.01,574.54,574.63,563.87,64613590,510.4876000000001,0.10680455313703972,0.0895329553781472
2025-07-31,Buy_Hold_QQQ,10680.705002121169,-0.01969876639351515,1.0,0.0,553.88,558.83,559.02,551.68,69400789,511.7736,0.08227544367274905,0.0680705002121169
2025-08-01,Buy_Hold_QQQ,10680.705002121169,0.0,1.0,0.0,553.88,558.83,559.02,551.68,69400000,513.118,0.07943981696218012,0.0680705002121169
2025-08-04,Buy_Hold_QQQ,10803.926105904577,0.011536794973640475,1.0,0.0,560.27,565.39,566.5607,559.73,48666640,514.4899999999999,0.08898132130848042,0.08039261059045766
2025-08-05,Buy_Hold_QQQ,10939.874272050592,0.012583218805219034,1.0,0.0,567.32,561.11,567.76,560.63,41823677,515.9662000000001,0.09952938777772646,0.09398742720505925
2025-08-06,Buy_Hold_QQQ,10976.89845346908,0.003384333356835576,1.0,0.0,569.24,571.67,573.32,565.11,44462972,517.4173999999999,0.1001562761515173,0.09768984534690808
2025-08-07,Buy_Hold_QQQ,11079.293455204588,0.009328227109830556,1.0,0.0,574.55,570.45,574.77,570.15,35255472,518.8697999999999,0.10731054303025542,0.10792934552045881
